timestamp,stall,product,price
2026-01-01 00:00:00,stall_0,tomato,2235.7852153377694
2026-01-01 00:00:00,stall_0,milk,2403.102494897166
2026-01-01 00:00:00,stall_0,tilapia,1609.7401444300597
2026-01-01 00:00:00,stall_0,banana,2721.8830017722858
2026-01-01 00:00:00,stall_1,tomato,2019.7480967693589
2026-01-01 00:00:00,stall_1,milk,1200.646963790612
2026-01-01 00:00:00,stall_1,tilapia,1616.9620170184567
2026-01-01 00:00:00,stall_1,banana,1109.2097145431687
2026-01-01 00:00:00,stall_2,tomato,3146.2057288169713
2026-01-01 00:00:00,stall_2,milk,1866.3050090192337
2026-01-01 00:00:00,stall_2,tilapia,2733.904508186139
2026-01-01 00:00:00,stall_2,banana,1300.4834467210442
2026-01-01 00:00:00,stall_3,tomato,2961.7188527815388
2026-01-01 00:00:00,stall_3,milk,2478.125594836253
2026-01-01 00:00:00,stall_3,tilapia,1943.44006119082
2026-01-01 00:00:00,stall_3,banana,2336.2390440159825
2026-01-01 00:00:00,stall_4,tomato,826.2087423563844
2026-01-01 00:00:00,stall_4,milk,2960.839369909246
2026-01-01 00:00:00,stall_4,tilapia,1162.853372822283
2026-01-01 00:00:00,stall_4,banana,1868.8701644314763
2026-01-01 00:00:00,stall_5,tomato,2921.9031029842117
2026-01-01 00:00:00,stall_5,milk,1784.3321111524774
2026-01-01 00:00:00,stall_5,tilapia,1214.9742269555027
2026-01-01 00:00:00,stall_5,banana,2956.063322689728
2026-01-01 00:00:00,stall_6,tomato,3446.2594934575113
2026-01-01 00:00:00,stall_6,milk,2185.1134635766757
2026-01-01 00:00:00,stall_6,tilapia,3180.420995192108
2026-01-01 00:00:00,stall_6,banana,1324.22275890372
2026-01-01 00:00:00,stall_7,tomato,1231.8286368609658
2026-01-01 00:00:00,stall_7,milk,1959.895169314261
2026-01-01 00:00:00,stall_7,tilapia,2358.4611845785103
2026-01-01 00:00:00,stall_7,banana,1403.861688127142
2026-01-01 00:00:00,stall_8,tomato,2291.3360295311973
