product,day,hour,age_hours,SL,base_cost,competitor_price,our_price,freshness_factor,demand
tomato,0,0,11.233342111855428,72,374.9080237694725,437.14831302928883,441.46115202256493,0.93837389299946,852.3247915224579
tomato,0,1,43.28028084551104,72,374.9080237694725,302.8301893541553,313.91910851035516,0.5339458701813247,602.6090964230974
tomato,0,2,59.93587013763037,72,374.9080237694725,334.3447266585953,350.0559147661235,0.24049353071452217,272.327052845987
tomato,0,3,21.905441493086716,72,374.9080237694725,319.6116782803228,309.49291668615024,0.8321855819426494,965.8065561186143
tomato,0,4,44.05340842001132,72,374.9080237694725,369.0720945022594,361.3669446524448,0.5214023866226609,547.6097460437727
tomato,0,5,32.83703886362659,72,374.9080237694725,326.18428511098443,321.8252184501047,0.6920024684920655,757.0687296917952
tomato,0,6,42.65384895806706,72,374.9080237694725,360.58600408672237,397.20920581487275,0.5440275581872851,542.5170043851289
tomato,0,7,4.683714694940125,72,374.9080237694725,351.8987646548233,374.3350041959248,0.9834084521432208,874.2188703774779
tomato,0,8,21.93219138048269,72,374.9080237694725,465.6386322531805,527.9986846089188,0.8318780975931964,585.7544240924875
tomato,0,9,8.786752908824075,72,374.9080237694725,363.79462736149134,397.77914796140374,0.9573671981051962,795.9745654651525
tomato,0,10,18.632158675201218,72,374.9080237694725,322.2284524741941,368.9597124916893,0.86835753177803,884.0401876833267
tomato,0,11,39.36314011271614,72,374.9080237694725,365.22854003925534,365.9614814468802,0.5957631886701729,636.0995859899037
tomato,0,12,67.64392379262162,72,374.9080237694725,400.76431640816105,411.79065819573754,0.08936478095754197,72.67584820191628
tomato,0,13,6.371460147738204,72,374.9080237694725,416.3933508254412,433.9599134602607,0.9736755254085818,892.2285825385181
tomato,0,14,27.984764857642705,72,374.9080237694725,304.07300711868606,298.76177396096205,0.7576830753757635,908.76275833536
tomato,0,15,20.227284697491413,72,374.9080237694725,393.0464826522131,387.4162225427416,0.8510955639559186,770.5185854898848
tomato,0,16,5.367646344943499,72,374.9080237694725,337.3784620420026,347.57393730205604,0.9796447192696912,1079.3346160878643
tomato,0,17,0.39759243289937274,72,374.9080237694725,445.0173101296251,431.6096364308351,0.9995896462367128,942.4130619847755
tomato,0,18,55.531464961388096,72,374.9080237694725,423.2954602373104,432.9892296966657,0.32265496566832685,290.88518767727487
tomato,0,19,62.14344666304273,72,374.9080237694725,328.4066390985631,315.7915239850509,0.19814791896932105,217.9149024663935
tomato,0,20,22.39072716352768,72,374.9080237694725,364.6648000212591,348.74930932986956,0.8265782548018878,923.2383089600901
tomato,0,21,63.87931746549551,72,374.9080237694725,386.72144253693284,392.04108491235496,0.164316829631586,148.6350995188771
tomato,0,22,54.776523500416616,72,374.9080237694725,330.2772611478075,337.32025157561327,0.3364205112466022,377.14845870913825
tomato,0,23,37.63676371550357,72,374.9080237694725,410.3525181919673,410.09791892639214,0.6220627800276215,564.7018465557553
tomato,1,0,2.262901369444866,72,374.9080237694725,316.8712121356566,304.44642025391516,0.9944281464462977,1228.2809235366094
tomato,1,1,65.3447861226787,72,374.9080237694725,363.6868204026875,363.99852514452186,0.13539515155342907,144.6125641423644
tomato,1,2,16.473467915396817,72,374.9080237694725,346.5355036268313,355.3912578765739,0.8905593139282684,892.7175004029012
tomato,1,3,66.93823096866527,72,374.9080237694725,321.54278314562913,310.649598128945,0.10357780396121863,116.0593599022726
